,id,name,location,coordinates,num_reviews,cuisine,timestamp,rating,recommend
34,z4CzSOnngC2RaTEC_BgUWA,Cataldo's Restaurant,"{'address1': '554 Vanderbilt Ave', 'address2': 'Ste 1', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['554 Vanderbilt Ave', 'Ste 1', 'Brooklyn, NY 11238']}","{'latitude': 40.6800799, 'longitude': -73.96832}",214,italian,2019-04-26 20:44:47.609939,4.0,1
35,PqqnNrUtU7XTKQvUM4cyqQ,Bar Verde,"{'address1': '65 2nd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['65 2nd Ave', 'New York, NY 10003']}","{'latitude': 40.7260849061034, 'longitude': -73.9897361397743}",152,mexican,2019-04-26 20:41:15.783870,4.5,0
36,SbSfNyGKyarQC-ixuIn7fw,Lasiaf Tacos,"{'address1': '2368 Flatbush Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11234', 'country': 'US', 'state': 'NY', 'display_address': ['2368 Flatbush Ave', 'Brooklyn, NY 11234']}","{'latitude': 40.612299, 'longitude': -73.925793}",39,mexican,2019-04-26 20:42:31.661708,3.5,0
37,FkA9aoMhWO4XKFMTuTnl4Q,Atla,"{'address1': '372 Lafayette St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['372 Lafayette St', 'New York, NY 10012']}","{'latitude': 40.7271874, 'longitude': -73.9938924}",220,mexican,2019-04-26 20:42:06.986565,3.5,1
38,PsYY7NHs5cFEI5hW5IZUlg,The Creek & The Cave,"{'address1': '10-93 Jackson Ave', 'address2': None, 'address3': '', 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['10-93 Jackson Ave', 'Long Island City, NY 11101']}","{'latitude': 40.7432511476929, 'longitude': -73.9517892774468}",355,mexican,2019-04-26 20:41:55.230248,3.5,1
39,3Gz07E5YJjDTJPSuzsAStQ,Ocean Prime,"{'address1': '123 W 52nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['123 W 52nd St', 'New York, NY 10019']}","{'latitude': 40.76173, 'longitude': -73.98063}",478,indian,2019-04-26 20:30:52.633491,4.5,1
40,MXstrG3HjF83LcxAd8OpTw,New Li Yuan,"{'address1': '273 W 38th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['273 W 38th St', 'New York, NY 10018']}","{'latitude': 40.754589387013, 'longitude': -73.9912518276348}",59,chinese,2019-04-26 20:28:32.329445,4.0,0
41,Ypz7j5vm0kZ2XqpjGjbHNw,Kookoo Chicken,"{'address1': '1698 86th St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11214', 'country': 'US', 'state': 'NY', 'display_address': ['1698 86th St', 'Brooklyn, NY 11214']}","{'latitude': 40.608487, 'longitude': -74.005194}",80,chinese,2019-04-26 20:28:56.061048,3.5,0
42,lFZDo3_rVV0N_YQob9I-BA,Shin Satto Tong Jokbal & Bossam,"{'address1': '26E Columbia Ave', 'address2': None, 'address3': None, 'city': 'Palisades Park', 'zip_code': '07650', 'country': 'US', 'state': 'NJ', 'display_address': ['26E Columbia Ave', 'Palisades Park, NJ 07650']}","{'latitude': 40.84202, 'longitude': -74.00081}",15,korean,2019-04-26 20:33:25.067415,5.0,0
43,X8Tg6XHKERw-vdWRU4oH3Q,Nuevo Mexico Bar & Restaurant,"{'address1': '489 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['489 5th Ave', 'Brooklyn, NY 11215']}","{'latitude': 40.667476, 'longitude': -73.987365}",230,mexican,2019-04-26 20:42:03.734730,3.5,1
44,WoCulK8HeGKt1Y8FSf0bTg,No. 1 Yummy Taco,"{'address1': '154-01 Union Tpke', 'address2': '', 'address3': None, 'city': 'Queens', 'zip_code': '11367', 'country': 'US', 'state': 'NY', 'display_address': ['154-01 Union Tpke', 'Queens, NY 11367']}","{'latitude': 40.7199334833763, 'longitude': -73.8097636029124}",14,mexican,2019-04-26 20:42:53.683904,4.0,0
45,Q9F2ocrmYuGt1yn3M7MOBw,Lucali,"{'address1': '575 Henry St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['575 Henry St', 'Brooklyn, NY 11231']}","{'latitude': 40.6818, 'longitude': -74.00024}",1305,indian,2019-04-26 20:31:05.702845,4.5,1
46,hAPJ5u7-gg358T2Y8mT91Q,Nacho Macho Taco,"{'address1': '591 Knickerbocker Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['591 Knickerbocker Ave', 'Brooklyn, NY 11221']}","{'latitude': 40.69646, 'longitude': -73.91388}",20,mexican,2019-04-26 20:42:14.593526,4.5,0
47,NebgteFykeM1gwiVgPcCHw,The Handpulled Noodle,"{'address1': '3600 Broadway', 'address2': 'Ste 3', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['3600 Broadway', 'Ste 3', 'New York, NY 10031']}","{'latitude': 40.828384, 'longitude': -73.948674}",630,chinese,2019-04-26 20:28:09.305305,4.0,1
48,7cCFZXZNlIfT8OkArzCwfQ,27 Mix,"{'address1': '27 Halsey St', 'address2': '', 'address3': '', 'city': 'Newark', 'zip_code': '07102', 'country': 'US', 'state': 'NJ', 'display_address': ['27 Halsey St', 'Newark, NJ 07102']}","{'latitude': 40.7415499, 'longitude': -74.1710499}",177,mexican,2019-04-26 20:42:20.989323,3.5,0
49,-_fDmhClugYdfy19qcNQpw,Asian Taste,"{'address1': '718 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['718 5th Ave', 'Brooklyn, NY 11215']}","{'latitude': 40.660945, 'longitude': -73.994533}",51,japanese,2019-04-26 20:51:22.374397,3.5,0
50,xFp3xSQ43J-i7nmJfNBsZA,Norikoh,"{'address1': '10 E 39th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['10 E 39th St', 'New York, NY 10016']}","{'latitude': 40.75116, 'longitude': -73.98153}",471,japanese,2019-04-26 20:50:17.298978,4.0,1
51,s56akY1oyxA74UT0IJYB8w,Paladar Brazilian BBQ,"{'address1': '358 E 112th St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['358 E 112th St', 'New York, NY 10029']}","{'latitude': 40.79352, 'longitude': -73.93768}",50,indian,2019-04-26 20:30:39.872946,5.0,0
52,RfkuPrAKQRFPC3D_0ugnEQ,Patricia's of Tremont,"{'address1': '3883 E Tremont Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10465', 'country': 'US', 'state': 'NY', 'display_address': ['3883 E Tremont Ave', 'Bronx, NY 10465']}","{'latitude': 40.8231315612793, 'longitude': -73.8192596435547}",205,italian,2019-04-26 20:45:52.683985,3.5,1
53,jFhD3GansBI-NbA7Zj1Uew,Cherin,"{'address1': '306-308 E 6th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['306-308 E 6th St', 'New York, NY 10003']}","{'latitude': 40.7269931, 'longitude': -73.9880779}",243,japanese,2019-04-26 20:51:08.297865,3.0,0
54,wAmWk6hQaHjREDVe8z2otA,Pampano Taqueria,"{'address1': '805 3rd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['805 3rd Ave', 'New York, NY 10022']}","{'latitude': 40.75537, 'longitude': -73.97054}",166,mexican,2019-04-26 20:42:01.592284,3.5,0
55,h7WwPbWt4Qgimc6K4oVTxA,Feng's Garden,"{'address1': '11054 Queens Blvd', 'address2': '', 'address3': '', 'city': 'Forest Hills', 'zip_code': '11375', 'country': 'US', 'state': 'NY', 'display_address': ['11054 Queens Blvd', 'Forest Hills, NY 11375']}","{'latitude': 40.7190535, 'longitude': -73.8393932}",59,chinese,2019-04-26 20:29:08.853405,3.5,0
56,Ca0xNawSNNhDWtJlR3fk3Q,Luna Coffee Shop,"{'address1': '121 W 29th', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['121 W 29th', 'New York, NY 10001']}","{'latitude': 40.7472270747783, 'longitude': -73.991003443492}",196,indian,2019-04-26 20:32:39.845171,4.5,0
57,kCk2uqmmJBQ80iLuncNhlQ,Kiraku Sushi,"{'address1': '1948 Williamsbridge Rd', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10461', 'country': 'US', 'state': 'NY', 'display_address': ['1948 Williamsbridge Rd', 'Bronx, NY 10461']}","{'latitude': 40.8532877, 'longitude': -73.8534942}",71,japanese,2019-04-26 20:51:09.569845,3.5,0
